subfield_id,subfield,field,domain,works_count,description
2308,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences,2500564,"system of rules and guidelines, generally backed by governmental authority"
2730,Oncology,Medicine,Health Sciences,2466001,branch of medicine dealing with cancer
3316,Cultural Studies,Social Sciences,Social Sciences,2447193,academic field of critical theory and literary criticism
1707,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,2436796,computerized information extraction from images
2737,Physiology,Medicine,Health Sciences,2434409,science regarding function of organisms or living systems
2306,Global and Planetary Change,Environmental Science,Physical Sciences,2408821,planetary-scale changes in the Earth system
2705,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences,2373899,branch of medicine dealing with disorders of the heart as well as parts of the circulatory system
2741,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences,2236475,specialty that uses medical imaging to diagnose and treat diseases seen within the body
2206,Computational Mechanics,Engineering,Physical Sciences,2076595,discipline concerned with the use of computational methods to study mechanics
2211,Mechanics of Materials,Engineering,Physical Sciences,2046986,behavior of solid objects subject to stresses and strains
1106,Food Science,Agricultural and Biological Sciences,Life Sciences,2036593,applied science devoted to the study of food
2805,Cognitive Neuroscience,Neuroscience,Life Sciences,1913451,scientific field concerned with cognition
2736,Pharmacology,Medicine,Health Sciences,1913384,branch of biology concerning drugs
1402,Accounting,"Business, Management and Accounting",Social Sciences,1868175,"measurement, processing and communication of financial information about economic entities"
1908,Geophysics,Earth and Planetary Sciences,Physical Sciences,1730689,study of physical processes and phenomena occurring in the earth and in its vicinity
1902,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences,1729697,umbrella term for the study of the atmosphere
2212,Ocean Engineering,Engineering,Physical Sciences,1640063,engineering of devices within the ocean environment
2725,Infectious Diseases,Medicine,Health Sciences,1627370,disease caused by infection of pathogenic biological agents in a host organism
2403,Immunology,Immunology and Microbiology,Life Sciences,1620153,branch of medicine studying the immune system
3317,Demography,Social Sciences,Social Sciences,1606557,science that deals with populations and their structures statistically and theoretically
1207,History and Philosophy of Science,Arts and Humanities,Social Sciences,1588926,academic discipline
2312,Water Science and Technology,Environmental Science,Physical Sciences,1559458,emphasis of groundwater and surface water in the understanding of water resource systems
2105,"Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,1548832,energy collected from renewable resources
1212,Religious studies,Arts and Humanities,Social Sciences,1517773,objective study of religion
1703,Computational Theory and Mathematics,Computer Science,Physical Sciences,1513162,area of mathematics
1304,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1474773,study of biological systems using methods from the physical sciences
1803,Management Science and Operations Research,Decision Sciences,Social Sciences,1462223,study of problem-solving in human organizations
2712,"Endocrinology, Diabetes and Metabolism",Medicine,Health Sciences,1456279,"medical specialty focusing on the endocrine system, its diseases, and their treatment, including diabetes management and metabolic disorders affecting hormone b"
2302,Ecological Modeling,Environmental Science,Physical Sciences,1453402,computational or theoretical approach to ecology
1911,Paleontology,Earth and Planetary Sciences,Physical Sciences,1445954,scientific study of the past of life on Earth through fossils
1407,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences,1425786,study of human behavior in organizational settings
2734,Pathology and Forensic Medicine,Medicine,Health Sciences,1417447,study and diagnosis of disease
3205,Experimental and Cognitive Psychology,Psychology,Social Sciences,1411931,subdiscipline of psychology
1910,Oceanography,Earth and Planetary Sciences,Physical Sciences,1407194,branch of Earth science that studies the ocean
1213,Visual Arts and Performing Arts,Arts and Humanities,Social Sciences,1402992,an expansive category encompassing creative disciplines that engage the senses and express human creativity and imagination
2305,Environmental Engineering,Environmental Science,Physical Sciences,1397348,professional engineering discipline related to environmental science
1802,Information Systems and Management,Decision Sciences,Social Sciences,1393484,book
3104,Condensed Matter Physics,Physics and Astronomy,Physical Sciences,1389010,branch of physics dealing with a property of matter
2003,Finance,"Economics, Econometrics and Finance",Social Sciences,1375684,"academic discipline studying businesses, financing, investments and protection of economic value"
2215,Building and Construction,Engineering,Physical Sciences,1355153,former West German trade union (1949–1995)
2743,Reproductive Medicine,Medicine,Health Sciences,1347978,"medicine dealing with prevention, diagnosis and management of reproductive problems"
2728,Neurology,Medicine,Health Sciences,1345766,medical specialty dealing with disorders of the nervous system
3322,Urban Studies,Social Sciences,Social Sciences,1304234,interdisciplinary field that examines the development and dynamics of cities and urban spaces
2738,Psychiatry and Mental health,Medicine,Health Sciences,1302931,"branch of medicine devoted to the study, diagnosis, treatment, and prevention of mental disorders"
2309,Nature and Landscape Conservation,Environmental Science,Physical Sciences,1295077,conservation of nature
3204,Developmental and Educational Psychology,Psychology,Social Sciences,1292064,scientific study of changes that occur in human beings over the course of their lives
1109,Insect Science,Agricultural and Biological Sciences,Life Sciences,1289488,scientific study of insects
2502,Biomaterials,Materials Science,Physical Sciences,1279349,any substance that has been engineered to interact with biological systems for a medical purpose
1209,Museology,Arts and Humanities,Social Sciences,1238343,study of museums
2307,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences,1222288,"branch of biology, chemistry, and medicine"
2209,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,1213985,"discipline of engineering dealing with various manufacturing sciences and practices including the research, design and development of systems, processes, machin"
2745,Rheumatology,Medicine,Health Sciences,1175832,"medical specialty dealing with autoimmune diseases, especially those of joints and connective tissues, including arthritis"
3318,Gender Studies,Social Sciences,Social Sciences,1160197,interdisciplinary academic field devoted to analysing gender identity and gendered representation
1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,1154422,scientific discipline that studies cells
1607,Spectroscopy,Chemistry,Physical Sciences,1111250,measurement and interpretation of interactions between matter and electromagnetic radiation of varying frequencies
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,1110316,cultivation of plants and animals to provide useful products
3109,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences,1104246,branch of physics
2916,Nutrition and Dietetics,Nursing,Health Sciences,1100894,field of research
1210,Music,Arts and Humanities,Social Sciences,1087797,art/activity of creating art using sound
1406,Marketing,"Business, Management and Accounting",Social Sciences,1082368,"study and process of promoting, distributing, and selling products or services to customers"
2304,Environmental Chemistry,Environmental Science,Physical Sciences,1062103,scientific study of the chemical and biochemical phenomena that occur in natural places
1404,Management Information Systems,"Business, Management and Accounting",Social Sciences,1050492,information system used for decision-making
