cluster_id,x,y,z
517,6.0251517,7.7043357,3.128094
518,6.1829324,7.628614,2.976312
520,9.647183,8.736028,4.9760146
521,7.0389066,7.0563893,3.2728853
522,10.753962,5.845184,2.9955485
523,9.636642,8.583345,5.374957
524,6.6685543,7.208242,2.2773073
525,6.722113,8.632279,4.1392946
526,9.480553,8.637967,5.244439
527,6.530252,8.336018,3.8425727
528,8.776551,8.254754,2.9215882
529,7.6382027,8.450947,4.337687
530,9.542044,8.628444,5.2286415
531,9.505934,8.2311,2.8530536
532,6.5261197,7.466202,2.068654
534,9.548728,8.598992,5.1971936
535,10.162328,5.2046003,2.2310867
536,6.20249,7.1687293,2.9996212
537,6.496574,7.199645,2.365765
538,6.627321,7.457857,1.985383
539,6.5356708,7.5446568,2.125526
540,6.588068,7.4716115,2.0271454
541,9.51406,8.634379,5.1579556
542,7.0795593,7.891636,5.2188597
543,9.21978,7.0771174,4.002286
544,6.6149535,9.917722,4.1578317
545,7.808287,8.476763,2.2502024
546,7.611354,9.582534,3.7173927
547,11.056895,5.2175255,4.3905787
548,8.900881,8.737097,2.5133808
549,9.27789,9.005452,2.711642
550,7.2114906,7.6741877,1.2780703
551,7.840548,8.477455,2.2418427
552,9.679851,5.707016,3.8043113
553,10.318947,5.737628,2.5524595
554,10.220784,5.688466,2.444278
555,10.302009,9.000638,3.730672
556,8.652196,9.035705,2.9134734
557,6.540585,10.253388,4.3994737
558,10.8011875,5.67881,2.8811095
559,6.386369,8.076483,3.8765657
560,10.962314,5.1353,4.9069734
561,9.983613,5.223204,2.2232738
562,10.009461,5.5522356,2.2823908
563,8.073652,9.196806,3.8288436
564,8.163442,9.07197,3.8621783
565,8.49274,9.052662,2.842152
566,7.113836,9.552651,4.1781197
567,7.2402644,9.686913,3.8759763
568,7.1454062,9.705396,3.9361737
569,9.037211,8.289064,2.1570756
570,8.815746,9.024711,3.1123836
571,8.739225,9.143172,3.1571052
572,6.840775,8.622046,3.5436208
574,8.439235,8.652573,3.560632
575,8.333406,8.813789,3.8093882
576,8.261222,9.039508,3.16232
577,8.258617,9.061556,3.2040246
578,8.392965,8.820049,3.37631
579,7.905362,8.7362385,2.9015644
580,8.906591,8.264662,2.0599554
581,9.16422,8.418173,1.9977794
582,7.873645,8.539946,2.263695
583,6.699403,10.000586,4.1593103
584,8.287634,5.7303324,2.8531172
585,7.2219305,9.611032,3.4096615
586,8.825133,6.3467093,3.0340955
587,8.761901,6.2789626,2.9795108
588,10.010855,5.286762,2.1582954
589,6.5455494,10.015396,3.871601
590,8.750073,5.6108117,2.6557245
591,8.77341,5.24152,3.1604052
593,11.028091,5.681669,4.2811103
594,10.445065,8.57997,2.6169
595,9.140174,8.174219,2.6705954
596,10.521898,4.763371,5.0197916
597,7.090416,8.495039,4.19855
598,9.030644,5.486636,2.4896228
599,9.93398,5.0196986,2.4196558
600,10.464501,6.696808,3.6453397
601,10.50221,5.421853,3.118986
602,8.64335,5.5632343,2.7220514
603,8.647007,5.604346,2.6914759
604,10.452128,5.825283,4.0239615
605,10.237301,4.24803,3.0718043
606,8.805442,8.5710945,2.465605
607,8.738867,8.492344,2.5874429
609,9.47837,8.8269,2.4494894
611,7.7512074,8.7269335,3.258798
612,7.6721816,8.718151,3.0377064
613,8.561023,8.634651,2.5560222
614,8.50146,8.574681,3.103833
615,9.4106865,8.709453,2.0668058
616,8.820028,8.843421,2.55554
617,9.934654,5.1508617,2.2967498
618,10.3326645,5.0915174,2.9475906
619,9.517456,4.2046328,2.5186636
620,9.479091,8.78419,2.010308
621,9.211316,8.560486,2.1488311
622,8.981437,9.188975,2.5189836
623,9.414157,8.997588,2.2238927
625,10.10272,5.3216257,2.499726
626,10.076119,5.386276,2.4273517
627,10.013977,5.3039393,2.3766582
628,8.6846895,8.540102,3.1343749
629,8.904476,8.4510565,2.5339246
630,8.925552,8.579761,2.4227655
631,9.612974,8.985392,2.0366757
632,7.060299,7.3350077,3.463856
633,9.306288,9.049775,2.2065668
634,7.680224,9.562061,3.792654
635,7.713907,9.518225,3.7984388
636,7.8379507,9.434918,3.7918394
637,7.7274795,9.422053,3.8454387
639,6.622658,9.934615,3.687626
640,9.923579,4.7371774,2.9909852
